id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15;price_prediction;MaiorCorrelação
5729000070;735626;545000.0;4;2.0;5461;22880;1.0;0;0;4;9;3265;2196;1964;0;98032;47.3557;-122.29;1940;10995;718244;sqft_living
2867300030;735446;442000.0;4;4.0;4168;8485;2.0;0;0;3;10;3222;946;2007;0;98023;47.3029;-122.387;4362;8100;751247;sqft_living15
3020079078;735533;487000.0;6;3.25;4750;248600;2.0;0;0;4;8;4750;0;1947;0;98022;47.1879;-121.973;2230;311610;603487;sqft_above
8121100155;735654;810000.0;4;3.5;2700;2868;2.0;0;0;3;11;1920;780;2006;0;98118;47.5685;-122.286;1430;3858;714639;grade
2195700050;735372;810000.0;4;2.5;3480;59242;2.0;0;0;3;11;3480;0;1988;0;98072;47.7391;-122.102;2930;39400;929430;grade
7116500920;735373;300000.0;6;5.25;2860;5682;2.0;0;0;3;7;2860;0;1978;0;98002;47.303;-122.221;1390;5956;373924;bathrooms
7116500920;735373;300000.0;6;5.25;2860;5682;2.0;0;0;3;7;2860;0;1978;0;98002;47.303;-122.221;1390;5956;373924;bathrooms
7116500920;735373;300000.0;6;5.25;2860;5682;2.0;0;0;3;7;2860;0;1978;0;98002;47.303;-122.221;1390;5956;373924;bathrooms
7116500920;735373;300000.0;6;5.25;2860;5682;2.0;0;0;3;7;2860;0;1978;0;98002;47.303;-122.221;1390;5956;373924;bathrooms
7116500920;735373;300000.0;6;5.25;2860;5682;2.0;0;0;3;7;2860;0;1978;0;98002;47.303;-122.221;1390;5956;373924;bathrooms
3326079016;735722;190000.0;2;1.0;710;1164794;1.0;0;0;2;5;710;0;1915;0;98014;47.6888;-121.909;1680;16730;611605;sqft_lot
2225079030;735579;180000.0;2;1.0;960;87991;1.5;0;0;3;5;960;0;1946;0;98014;47.63;-121.9;1940;392040;258947;sqft_lot15
